sample_id,genotype,block_number,replica_number,dev_stage,leaf_number,leaf_zone,dag,common_dev_stage,common_leaf_age,tissue_designation,developmental_stage_dap,dev_group,metabolite,intensity
D12P29A,PT,2,2,12,9,Along,49,V10+,adult,PT_9_12,50,>9,acylcarnitine_15_3,17927
D11B111B,B73,1,1,12,11,Base,57,V10+,adult,B73_11_12,58,>9,acylcarnitine_15_3,166094
D11B111C,B73,1,1,12,11,Center,57,V10+,adult,B73_11_12,58,>9,acylcarnitine_15_3,14087
D11B111T,B73,1,1,12,11,Tip,57,V10+,adult,B73_11_12,58,>9,acylcarnitine_15_3,20573
D12P211A,PT,2,2,12,11,Along,49,V10+,adult,PT_11_12,50,>9,acylcarnitine_15_3,32847
D11B113B,B73,1,1,12,13,Base,57,V10+,young,B73_13_12,58,>9,acylcarnitine_15_3,339217
D11B113C,B73,1,1,12,13,Center,57,V10+,young,B73_13_12,58,>9,acylcarnitine_15_3,18e3
D11B113T,B73,1,1,12,13,Tip,57,V10+,young,B73_13_12,58,>9,acylcarnitine_15_3,43434
D12C24A,CML312,2,2,11,4,Along,49,V10+,adult,CML312_4_11,50,>9,acylcarnitine_15_3,0
D11B25C,B73,1,2,11,5,Center,57,V10+,adult,B73_5_11,58,>9,acylcarnitine_15_3,3439
D12C25A,CML312,2,2,11,5,Along,49,V10+,adult,CML312_5_11,50,>9,acylcarnitine_15_3,8541
D11B27B,B73,1,2,11,7,Base,57,V10+,adult,B73_7_11,58,>9,acylcarnitine_15_3,6998
D11C27B,CML312,1,2,11,7,Base,57,V10+,adult,CML312_7_11,58,>9,acylcarnitine_15_3,8136
D11B27C,B73,1,2,11,7,Center,57,V10+,adult,B73_7_11,58,>9,acylcarnitine_15_3,4257
D11C27C,CML312,1,2,11,7,Center,57,V10+,adult,CML312_7_11,58,>9,acylcarnitine_15_3,5721
D11B27T,B73,1,2,11,7,Tip,57,V10+,adult,B73_7_11,58,>9,acylcarnitine_15_3,7390
D11C27T,CML312,1,2,11,7,Tip,57,V10+,adult,CML312_7_11,58,>9,acylcarnitine_15_3,2941
D12C27A,CML312,2,2,11,7,Along,49,V10+,adult,CML312_7_11,50,>9,acylcarnitine_15_3,30757
D11B29B,B73,1,2,11,9,Base,57,V10+,adult,B73_9_11,58,>9,acylcarnitine_15_3,19081
D11C29B,CML312,1,2,11,9,Base,57,V10+,adult,CML312_9_11,58,>9,acylcarnitine_15_3,8519
D11B29C,B73,1,2,11,9,Center,57,V10+,adult,B73_9_11,58,>9,acylcarnitine_15_3,7797
D11C29C,CML312,1,2,11,9,Center,57,V10+,adult,CML312_9_11,58,>9,acylcarnitine_15_3,3173
D11B29T,B73,1,2,11,9,Tip,57,V10+,adult,B73_9_11,58,>9,acylcarnitine_15_3,4012
D11C29T,CML312,1,2,11,9,Tip,57,V10+,adult,CML312_9_11,58,>9,acylcarnitine_15_3,5477
D12C29A,CML312,2,2,11,9,Along,49,V10+,adult,CML312_9_11,50,>9,acylcarnitine_15_3,9517
D11B211B,B73,1,2,11,11,Base,57,V10+,young,B73_11_11,58,>9,acylcarnitine_15_3,200047
D11C211B,CML312,1,2,11,11,Base,57,V10+,young,CML312_11_11,58,>9,acylcarnitine_15_3,131995
D11B211C,B73,1,2,11,11,Center,57,V10+,young,B73_11_11,58,>9,acylcarnitine_15_3,26384
